                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                 1.0217,                0.12997,                0.07274,                0.55872,                 1.1679,                0.99003,                      1,                0.99248,                 0.7077,                 0.9869,                0.99685,                0.99241,                0.99072,                 1.0611,                0.06778,                0.01023,                0.47076,                 1.2658,              0.0015908,              0.0015908,              0.0015908
                     33,                 1.0148,                0.11138,                0.07291,                0.55278,                  1.173,                0.99497,                0.99369,                 0.9943,                0.70884,                0.99187,                0.99054,                0.99398,                 0.9933,                  1.063,                0.07227,                0.00445,                0.47866,                 1.2711,              0.0015776,              0.0015776,              0.0015776
                     34,                 1.0129,                0.11025,                0.07647,                0.55286,                 1.1729,                0.99152,                0.99685,                0.99453,                0.67833,                0.98838,                0.99369,                0.99442,                0.99276,                 1.1756,                0.07299,                0.00391,                0.50266,                 1.2938,              0.0015644,              0.0015644,              0.0015644
                     35,                 1.0035,                0.12078,                0.07346,                0.54824,                 1.1622,                0.98438,                0.99424,                 0.9937,                0.70075,                0.98438,                0.99424,                0.99333,                0.99268,                 1.0947,                 0.0663,                0.00938,                0.49735,                 1.2707,              0.0015512,              0.0015512,              0.0015512
                     36,                 0.9879,                0.11335,                0.07326,                0.55162,                 1.1524,                0.99368,                      1,                0.99478,                0.70585,                0.99054,                0.99685,                0.99398,                0.99335,                 1.1077,                 0.0685,                 0.0188,                0.48215,                 1.2831,               0.001538,               0.001538,               0.001538
                     37,                0.98967,                0.11192,                0.06924,                0.54171,                 1.1544,                0.98981,                0.99369,                0.99252,                0.72003,                0.98981,                0.99369,                0.99442,                0.99316,                 1.0599,                0.06534,                0.00834,                0.46066,                 1.2624,              0.0015248,              0.0015248,              0.0015248
                     38,                0.97518,                0.11725,                0.08135,                0.53783,                 1.1456,                0.99557,                      1,                0.99472,                0.69361,                0.99243,                0.99685,                0.99468,                0.99411,                  1.151,                0.06266,                 0.0082,                0.49164,                 1.3245,              0.0015116,              0.0015116,              0.0015116
                     39,                0.97809,                0.11428,                0.07302,                0.53476,                 1.1502,                0.99368,                0.99207,                0.99351,                0.66507,                0.99368,                0.99207,                0.99405,                0.99209,                 1.1785,                0.06921,                0.01362,                0.52807,                 1.3532,              0.0014984,              0.0014984,              0.0014984
                     40,                0.97716,                0.11245,                0.07295,                0.53482,                 1.1486,                0.99597,                      1,                0.99374,                  0.685,                0.99283,                0.99685,                0.99339,                0.99187,                 1.1553,                0.07221,                0.00619,                0.46951,                 1.3101,              0.0014852,              0.0014852,              0.0014852
                     41,                0.96589,                0.10194,                0.07156,                0.52394,                 1.1426,                0.99296,                0.99685,                0.99234,                0.71348,                0.99296,                0.99685,                0.99382,                0.99343,                 1.0602,                0.06234,                 0.0092,                0.45485,                 1.2841,               0.001472,               0.001472,               0.001472
                     42,                0.94272,                0.10902,                0.06938,                 0.5253,                 1.1357,                0.98646,                      1,                0.99347,                0.69339,                0.98909,                0.99685,                 0.9936,                0.99307,                 1.1263,                0.06727,                0.00963,                0.46997,                 1.3328,              0.0014588,              0.0014588,              0.0014588
                     43,                0.94361,                0.10828,                0.06821,                0.51032,                 1.1284,                0.99151,                0.99685,                0.99391,                  0.696,                0.99151,                0.99685,                0.99455,                0.99251,                 1.0958,                0.06698,                0.00532,                0.45416,                   1.31,              0.0014456,              0.0014456,              0.0014456
                     44,                0.92072,                0.10317,                0.06897,                0.49705,                 1.1241,                0.99371,                0.99654,                0.99323,                0.68348,                0.99188,                0.99369,                0.99442,                0.99254,                 1.0795,                0.06843,                0.00536,                0.45365,                 1.3138,              0.0014324,              0.0014324,              0.0014324
                     45,                0.92343,                0.10951,                0.06719,                0.51095,                 1.1271,                0.99023,                0.99685,                0.99339,                0.71356,                0.99023,                0.99685,                0.99431,                0.99337,                 1.0539,                0.06637,                0.00621,                0.44892,                 1.2928,              0.0014192,              0.0014192,              0.0014192
                     46,                0.94523,                0.10931,                0.06734,                0.51942,                 1.1283,                0.98691,                0.99685,                0.99156,                0.68475,                0.98691,                0.99685,                0.99395,                0.99307,                  1.137,                0.06224,                0.00495,                 0.4727,                 1.3434,               0.001406,               0.001406,               0.001406
                     47,                0.91486,                0.09372,                0.06437,                0.50495,                   1.12,                 0.9967,                      1,                0.99453,                0.72661,                0.99356,                0.99685,                0.99442,                0.99386,                 1.0716,                0.06778,                0.00601,                0.45197,                 1.2748,              0.0013928,              0.0013928,              0.0013928
                     48,                0.92784,                0.10031,                0.06446,                0.51266,                  1.121,                0.99626,                0.99685,                0.99405,                0.72179,                0.99311,                0.99369,                0.99356,                0.99272,                  1.095,                0.05986,                0.00487,                0.46061,                 1.2942,              0.0013796,              0.0013796,              0.0013796
                     49,                0.88928,                0.09092,                0.06202,                0.49414,                 1.1052,                0.99524,                      1,                0.99412,                0.71217,                 0.9921,                0.99685,                0.99403,                0.99245,                 1.0767,                0.06708,                0.00741,                0.44343,                 1.2758,              0.0013664,              0.0013664,              0.0013664
                     50,                0.89449,                0.08767,                0.06588,                 0.4904,                 1.1043,                0.98989,                0.99369,                0.99385,                0.67822,                0.98674,                0.99054,                0.99382,                0.99316,                 1.1253,                0.07228,                0.00805,                  0.476,                 1.3433,              0.0013532,              0.0013532,              0.0013532
                     51,                 0.9065,                0.10417,                0.06609,                0.50515,                 1.1237,                0.98962,                      1,                0.99385,                0.70089,                0.98663,                0.99685,                0.99385,                0.99281,                 1.1128,                0.06446,                0.00623,                0.45251,                  1.336,                0.00134,                0.00134,                0.00134
