epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,691.396,0.89503,0.10825,0.07355,0.53772,1.07645,0.99764,1,0.995,0.71976,0.98517,0.9875,0.98517,0.98517,1.05555,0.0998,0.00425,0.44284,1.22461,0.0014588,0.0014588,0.0014588
43,707.313,0.88492,0.11811,0.09142,0.54347,1.0775,0.99954,1,0.995,0.7427,0.98704,0.9875,0.98362,0.98362,1.05267,0.1154,0.00628,0.43007,1.21759,0.0014456,0.0014456,0.0014456
44,724.32,0.89805,0.1263,0.08574,0.54707,1.06512,0.99926,1,0.995,0.74779,0.98677,0.9875,0.98596,0.98596,0.99052,0.11533,0.00443,0.42039,1.16868,0.0014324,0.0014324,0.0014324
45,740.486,0.87219,0.10166,0.08124,0.53271,1.06776,0.99877,1,0.995,0.75585,0.98628,0.9875,0.98457,0.98457,0.94305,0.11073,0.00498,0.4209,1.11403,0.0014192,0.0014192,0.0014192
46,756.476,0.87194,0.10942,0.07982,0.5277,1.05567,0.99928,1,0.995,0.75938,0.98679,0.9875,0.98064,0.98064,0.97923,0.10702,0.01094,0.4065,1.13892,0.001406,0.001406,0.001406
47,772.25,0.87135,0.12265,0.07929,0.53458,1.06708,0.99831,1,0.995,0.72563,0.98583,0.9875,0.98771,0.98728,1.02709,0.11053,0.00716,0.41628,1.2159,0.0013928,0.0013928,0.0013928
48,788.738,0.86239,0.10889,0.07675,0.53374,1.05863,0.99952,1,0.995,0.75739,0.98703,0.9875,0.98789,0.98789,1.03036,0.10938,0.00633,0.42166,1.18138,0.0013796,0.0013796,0.0013796
49,805.008,0.876,0.10528,0.07529,0.53502,1.06739,0.99717,1,0.995,0.72579,0.98464,0.9875,0.98627,0.98627,1.0072,0.10212,0.0101,0.42252,1.17144,0.0013664,0.0013664,0.0013664
50,820.761,0.87307,0.10276,0.06968,0.53413,1.06961,0.99796,1,0.995,0.73295,0.98537,0.9875,0.98571,0.98505,1.03919,0.10744,0.00581,0.41373,1.20029,0.0013532,0.0013532,0.0013532
51,836.381,0.83949,0.09138,0.08047,0.50361,1.05117,0.99879,1,0.995,0.74552,0.98631,0.9875,0.98874,0.98874,1.04742,0.09777,0.00688,0.42428,1.19595,0.00134,0.00134,0.00134
52,852.261,0.83587,0.10085,0.07417,0.50722,1.04101,0.99929,1,0.995,0.75604,0.9868,0.9875,0.98608,0.98584,1.00493,0.10977,0.00924,0.39759,1.17772,0.0013268,0.0013268,0.0013268
53,869.477,0.82626,0.10161,0.07856,0.50411,1.04723,0.99463,1,0.995,0.7229,0.98219,0.9875,0.98487,0.98487,1.1325,0.11255,0.00893,0.43195,1.26279,0.0013136,0.0013136,0.0013136
54,885.431,0.85063,0.11222,0.07489,0.51241,1.05967,0.9994,1,0.995,0.77062,0.98691,0.9875,0.9874,0.9874,0.96633,0.1051,0.00579,0.39283,1.1556,0.0013004,0.0013004,0.0013004
55,901.312,0.82649,0.09004,0.06529,0.49487,1.03619,0.99947,1,0.995,0.73961,0.98697,0.9875,0.98892,0.98892,1.04967,0.10451,0.00423,0.41954,1.18038,0.0012872,0.0012872,0.0012872
56,917.262,0.83447,0.1015,0.0695,0.50567,1.04236,0.99934,1,0.995,0.71144,0.98685,0.9875,0.98636,0.98636,1.15657,0.09978,0.00383,0.44275,1.31172,0.001274,0.001274,0.001274
57,934.373,0.82368,0.07979,0.06867,0.4915,1.04491,0.99941,1,0.995,0.73408,0.98692,0.9875,0.98322,0.98322,1.05726,0.10157,0.00828,0.40181,1.23861,0.0012608,0.0012608,0.0012608
58,950.599,0.82341,0.0968,0.07359,0.49794,1.03893,0.99953,1,0.995,0.75283,0.98704,0.9875,0.98958,0.98958,1.00907,0.10065,0.00443,0.40706,1.21818,0.0012476,0.0012476,0.0012476
59,966.647,0.80851,0.08852,0.06472,0.49359,1.03729,0.99217,1,0.99413,0.75186,0.97976,0.9875,0.98148,0.98135,0.96358,0.11096,0.00723,0.40002,1.14945,0.0012344,0.0012344,0.0012344
60,982.611,0.82204,0.09687,0.06691,0.49826,1.03828,0.99959,1,0.995,0.75936,0.98709,0.9875,0.98537,0.98537,0.99266,0.08964,0.00313,0.39003,1.17743,0.0012212,0.0012212,0.0012212
61,999.459,0.81707,0.09105,0.06444,0.48842,1.03787,0.99741,1,0.995,0.77386,0.98494,0.9875,0.98961,0.98961,0.96528,0.09314,0.00472,0.38273,1.16987,0.001208,0.001208,0.001208
62,1015.48,0.80682,0.08311,0.06583,0.48064,1.03994,0.99954,1,0.995,0.77402,0.98705,0.9875,0.98694,0.98694,0.95767,0.10133,0.00449,0.38529,1.15103,0.0011948,0.0011948,0.0011948
63,1031.56,0.80071,0.09267,0.06709,0.48953,1.03186,0.9996,1,0.995,0.77548,0.9871,0.9875,0.98773,0.98752,0.94104,0.0945,0.0086,0.39111,1.13673,0.0011816,0.0011816,0.0011816
64,1047.54,0.79582,0.08497,0.06128,0.47596,1.03421,0.9991,1,0.995,0.77269,0.98661,0.9875,0.9873,0.9873,0.9288,0.09818,0.00304,0.38378,1.14928,0.0011684,0.0011684,0.0011684
65,1064.11,0.78724,0.08675,0.06419,0.47224,1.02933,0.99962,1,0.995,0.75879,0.98713,0.9875,0.98695,0.98695,1.009,0.09797,0.00423,0.38662,1.2018,0.0011552,0.0011552,0.0011552
66,1079.83,0.80408,0.08374,0.0624,0.49421,1.02924,0.99958,1,0.995,0.77783,0.98708,0.9875,0.98456,0.98456,0.96186,0.09257,0.00419,0.38574,1.18219,0.001142,0.001142,0.001142
67,1095.76,0.79195,0.07918,0.06504,0.46859,1.01171,0.99956,1,0.995,0.76633,0.98707,0.9875,0.98669,0.98669,0.97714,0.09714,0.00309,0.38285,1.1765,0.0011288,0.0011288,0.0011288
68,1111.91,0.78523,0.07759,0.06368,0.47365,1.03033,0.99955,1,0.995,0.74431,0.98705,0.9875,0.98422,0.98422,1.03413,0.0997,0.00694,0.39953,1.23617,0.0011156,0.0011156,0.0011156
69,1128.7,0.78686,0.07315,0.05801,0.48414,1.02669,0.99962,1,0.995,0.76494,0.98713,0.9875,0.98814,0.98814,0.99444,0.09217,0.00286,0.38392,1.2185,0.0011024,0.0011024,0.0011024
70,1144.78,0.7968,0.08313,0.06987,0.47344,1.02068,0.99962,1,0.995,0.76399,0.98712,0.9875,0.98638,0.98611,0.97159,0.09181,0.00435,0.38168,1.16826,0.0010892,0.0010892,0.0010892
71,1160.65,0.7825,0.091,0.05599,0.47554,1.02094,0.99958,1,0.995,0.74691,0.98709,0.9875,0.98535,0.98535,1.02516,0.09228,0.0048,0.39579,1.18998,0.001076,0.001076,0.001076
72,1177.31,0.78879,0.08091,0.05992,0.46984,1.02444,0.99961,1,0.995,0.74589,0.98712,0.9875,0.98743,0.98743,1.04349,0.09192,0.00477,0.38871,1.24159,0.0010628,0.0010628,0.0010628
